1 CHOD JAN KOWALSKI
CZAS	aX	aY	aZ	1462	0	0	0	
3202	26632	5884	4764	
3204	27004	6284	2944	
3207	26960	6644	1108	
3210	26684	6816	-800	
3213	26292	6980	-2288	
3216	26116	6856	-3588	
3218	25748	6460	-4708	
3221	25428	6340	-5688	
3224	24820	6276	-6220	
3227	24356	6328	-6772	
3230	23816	6524	-7340	
3233	23416	5928	-7748	
3235	23040	5796	-7764	
3238	22644	5708	-8040	
3241	22408	5672	-7744	
3245	21860	5584	-7204	
3248	21468	5544	-6672	
3250	21340	5496	-6052	
3253	20804	5400	-4920	
3256	20352	4936	-3860	
3263	19544	3948	-1096	
3265	19424	3504	56	
3268	19004	3332	784	
3271	18908	3240	588	
3274	18464	2992	1064	
3276	17920	2648	820	
3279	17152	2216	512	
3282	16760	2376	-312	
3286	16180	2392	-1092	
3289	15916	2740	-1692	
3291	15472	3092	-2488	
3294	14988	3748	-3280	
3297	14496	4136	-3884	
3300	13904	4964	-4264	
3303	14280	3876	-3748	
3305	14612	3724	-4260	
3308	15052	3600	-3424	
3311	15704	3524	-3140	
3314	16052	3444	-2632	
3317	16544	3460	-2300	
3320	16900	3456	-2088	
3322	16952	3652	-1764	
3325	16716	3772	-1808	
3333	16500	4340	-1712	
3336	16528	4464	-1580	
3338	16512	4480	-1312	
3341	16300	4556	-936	
3344	16296	4632	-564	
3347	16512	4564	-264	
3350	16052	4420	184	
3352	16028	4380	632	
3355	16016	4412	1004	
3358	15856	4664	936	
3361	16236	4508	1400	
3363	16716	4492	1688	
3366	17300	4444	1516	
3369	17984	4536	1488	
3373	18584	4548	1080	
3375	18788	4624	532	
3378	19352	4152	180	
3381	19228	3436	-492	
3384	18708	3140	-988	
3386	17880	3328	-1668	
3389	17360	3040	-1960	
3392	16480	2868	-2248	
3395	16124	2596	-2392	
3401	14776	2108	-2728	
3404	14312	1840	-2792	
3407	13732	1592	-3012	
3410	13132	1756	-3044	
3414	12700	2368	-3276	
3417	12380	1760	-3304	
3419	12148	1816	-3316	
3422	12212	1816	-3104	
3425	11956	1820	-2960	
3428	11928	2012	-2948	
3431	11988	1996	-3008	
3434	12064	1896	-2852	
3436	12076	1972	-2592	
3439	12068	1956	-2380	
3442	12176	2032	-2464	
3445	12120	1864	-2312	
3448	12200	1880	-2052	
3450	12180	1844	-1700	
3453	12264	1836	-1524	
3457	12060	1884	-1132	
3460	12188	1952	-984	
3463	12336	2004	-320	
3469	12348	2044	-76	
3472	12528	2060	-52	
3475	12560	2200	128	
3477	12568	2260	36	
3480	12384	2280	44	
3483	12364	2328	52	
3486	12228	2364	44	
3488	12032	2260	308	
3491	12072	2276	136	
3494	11844	2248	192	
3496	11988	2252	80	
3500	11944	2200	344	
3503	12136	2160	96	
3506	12064	2188	116	
3508	12460	2112	-92	
3511	12792	2128	-256	
3514	13168	1932	-472	
3517	13180	1772	-692	
3519	13052	1760	-764	
3522	13288	1556	-836	
3525	12896	1460	-660	
3528	13012	1436	-808	
3531	12628	1384	-580	
3533	12440	1316	-768	
3536	12016	1264	-428	
3544	11692	672	168	
3546	11880	516	404	
3549	12016	688	704	
3552	12208	568	1188	
3555	12356	584	1232	
3557	12976	680	1380	
3560	12916	776	1376	
3563	13168	928	1404	
3566	13408	948	1252	
3568	13524	964	1336	
3571	13836	1092	1352	
3574	13904	1176	1356	
3577	13920	1176	1440	
3579	14080	1056	1444	
3582	14020	1208	1476	
3586	14032	1324	1568	
3589	14068	1492	1232	
3591	14184	1620	1120	
3594	14104	1748	1188	
3597	14340	1748	932	
3600	14340	1628	1036	
3603	14176	1584	992	
3605	14160	1552	660	
3608	14340	1400	924	
3615	14332	1404	796	
3617	14636	1436	860	
3620	14588	1580	932	
3623	14524	1664	784	
3627	14404	1920	712	
3629	14416	1988	780	
3632	14272	1936	1000	
3635	14552	2176	988	
3638	14748	2144	1060	
3640	14864	2208	1264	
3643	15136	2428	1360	
3646	15460	2412	1396	
3649	15960	2680	1644	
3652	16252	2816	1960	
3654	16752	2744	2328	
3657	17336	2488	2396	
3660	17816	2256	2672	
3663	18072	1760	2988	
3665	18180	1788	3076	
3668	17968	1916	3456	
3672	18184	1860	3332	
3675	18544	1824	3280	
3678	18540	1736	3136	
3684	17572	1780	1696	
3687	17800	2148	1620	
3690	17588	2056	1328	
3692	17384	2156	1288	
3695	17576	2208	1260	
3698	17980	2004	1284	
3701	18060	1740	1308	
3703	18480	2004	1544	
3706	19052	1924	1992	
3709	19580	1668	2704	
3713	20068	1336	2976	
3716	20696	848	3400	
3718	21288	488	3620	
3721	21548	488	3792	
3724	21788	608	3984	
3727	21912	760	3988	
3729	22024	744	3996	
3732	22304	728	3924	
3735	22476	556	4160	
3738	22528	444	4200	
3740	22372	288	4232	
3743	22012	192	4268	
3746	21788	352	4180	
3749	21672	420	4240	
3757	21320	504	3480	
3760	21520	448	3352	
3763	21400	480	3048	
3766	21524	636	2944	
3768	21500	792	2856	
3771	21644	948	2348	
3774	21412	1160	2748	
3777	21328	1216	2840	
3780	20952	1280	3096	
3782	20892	1480	3312	
3785	20836	1232	3108	
3788	20732	1108	3368	
3791	20944	1024	3388	
3793	20996	1016	3536	
3796	20996	908	3292	
3800	21144	1072	3000	
3803	21376	1180	2956	
3806	21436	1248	2636	
3808	22232	1792	2540	
3811	22376	1920	1816	
3814	22560	2240	1484	
3817	22696	2692	720	
3819	22612	3372	696	
3822	22532	4148	-28	
3828	22612	5376	-1612	
3831	22348	5492	-2404	
3834	22136	5236	-3332	
3837	21912	5300	-4460	
3840	21260	5048	-4908	
3843	21132	5164	-6012	
3846	20552	5140	-6164	
3849	20280	5244	-6772	
3852	20048	5416	-7460	
3855	19432	5156	-7576	
3857	18892	4716	-8340	
3860	18260	4284	-8196	
3863	18064	3700	-8564	
3866	17548	3392	-8836	
3869	16956	2972	-8764	
3871	16696	2800	-8988	
3874	16588	2804	-8316	
3877	16284	2496	-8080	
3880	15676	1928	-7240	
3884	15532	1416	-6932	
3887	15064	980	-6716	
3889	14696	924	-6248	
3896	14324	844	-5588	
3898	14480	788	-5324	
3901	14516	1052	-5232	
3904	15072	1224	-4912	
3907	15664	1444	-4756	
3910	15796	1504	-4692	
3912	16360	1880	-4776	
3915	17016	2172	-4604	
3918	17388	2264	-4500	
3921	17900	2240	-4076	
3924	18192	2328	-3900	
3928	18696	2296	-3512	
3930	18852	2352	-2908	
3933	18848	2532	-2384	
3936	18840	2548	-1976	
3939	19008	2764	-1352	
3942	18908	2564	-864	
3944	18736	2340	-492	
3947	18748	2260	-200	
3950	18296	2152	-116	
3953	18116	2092	-48	
3955	17780	2220	192	
3958	17456	2416	384	
3964	16624	3176	420	
3968	16620	3144	488	
3971	16376	3312	576	
3974	16444	3232	572	
3976	16680	3244	652	
3979	16736	3320	776	
3982	16820	3312	528	
3985	16772	3248	332	
3987	16828	3356	-120	
3990	16664	3292	-332	
3993	16444	3444	-612	
3996	16380	3624	-816	
3998	16180	3664	-916	
4001	15924	3932	-1192	
4004	15744	3784	-1332	
4007	15416	3952	-1384	
4011	15100	3876	-1236	
4014	15020	3916	-1352	
4016	14880	3576	-972	
4019	14808	3192	-920	
4022	14524	3108	-916	
4025	14684	3108	-976	
4028	14496	2852	-816	
4034	14280	2748	-776	
4036	14100	2800	-732	
4039	13788	2632	-612	
4042	13372	2668	-612	
4045	12848	2660	-548	
4048	12780	2592	-388	
4050	12776	2244	-148	
4054	12540	1956	84	
4057	12288	1780	96	
4060	12072	1744	180	
4062	11936	1544	552	
4065	11724	1388	600	
4068	11580	1304	832	
4071	11356	1156	960	
4073	11228	968	956	
4076	11132	840	1068	
4079	10992	832	1056	
4082	10844	860	1084	
4084	10936	884	864	
4087	11128	1032	884	
4090	11268	1148	668	
4092	11316	1164	352	
4096	11564	1280	32	
4099	11636	1448	216	
4102	11660	1604	-88	
4108	11340	1668	348	
4111	11224	1592	332	
4113	10984	1476	500	
4116	10980	1560	664	
4119	11008	1432	1248	
4122	11148	1440	1496	
4124	11344	1540	1608	
4127	11512	1644	1784	
4130	11640	1716	1968	
4133	11816	1840	2036	
4136	12056	1936	2140	
4139	12216	1988	2184	
